time_period;economic_activity;establishment_size;number_of_establishments
2016;Wholesale trade, except of motor vehicles and motorcycles;20+  Employees;1674.0
2016;Retail trade, except of motor vehicles and motorcycles;20+  Employees;2528.0
2016;Water transport;Total;338.0
2016;Air transport;Total;477.0
2016;Warehousing and support activities for transportation;20+  Employees;799.0
2016;Accommodation;Less than 5 Employees;22850.0
2016;Accommodation;5 to 19 Employees;4239.0
2016;Accommodation;Total;27737.0
2016;Motion picture, video & tv programme production, sound recording;5 to 19 Employees;48.0
2016;Programming and broadcasting activities;20+  Employees;13.0
2016;Telecommunications;Less than 5 Employees;2505.0
2016;Telecommunications;20+  Employees;281.0
2016;Computer programming, consultancy and related activities;Less than 5 Employees;235.0
2016;Computer programming, consultancy and related activities;Total;549.0
2016;Information service activities;5 to 19 Employees;99.0
2016;Financial service activities, except insurance and pension funding;5 to 19 Employees;2566.0
2016;Insurance, reinsurance and pension funding;5 to 19 Employees;288.0
2016;Insurance, reinsurance and pension funding;20+  Employees;183.0
2016;"Activities of head offices; management consultancy activities";20+  Employees;56.0
2016;Advertising and market research;20+  Employees;177.0
2016;Rental and leasing activities;5 to 19 Employees;1146.0
2016;Rental and leasing activities;Total;8574.0
2016;Employment activities;20+  Employees;74.0
2016;Human health activities;Less than 5 Employees;566.0
2016;Libraries, archives, museums and other cultural activities;5 to 19 Employees;36.0
2016;Repair of computers and personal and household goods;Total;13839.0
2016;Total;5 to 19 Employees;136835.0
2016;Forestry and logging;Less than 5 Employees;599.0
2016;Forestry and logging;5 to 19 Employees;33.0
2016;Fishing and aquaculture;20+  Employees;10.0
2016;Extraction of crude petroleum and natural gas;Less than 5 Employees;9.0
2016;Mining of metal ores;Total;51.0
2016;Mining support service activities;Less than 5 Employees;19.0
2016;Mining support service activities;Total;150.0
2016;Manufacture of beverages;Less than 5 Employees;630.0
2016;Manufacture of beverages;5 to 19 Employees;242.0
2016;Manufacture of beverages;Total;1011.0
2016;Manufacture of textiles;Less than 5 Employees;2004.0
2016;Manufacture of leather and related products;Less than 5 Employees;108.0
2016;Manufacture of leather and related products;5 to 19 Employees;16.0
2016;Manufacture of paper and paper products;Total;345.0
2016;Manufacture of chemicals and chemical products;5 to 19 Employees;585.0
2016;Manufacture of chemicals and chemical products;20+  Employees;558.0
2016;Manufacture of basic metals;5 to 19 Employees;202.0
2016;Manufacture of fabricated metal products;5 to 19 Employees;5320.0
2016;Manufacture of electrical equipment;Total;613.0
2016;Manufacture of motor vehicles, trailers and semi-trailers;20+  Employees;79.0
2016;Repair and installation of machinery and equipment;Total;12370.0
2016;Water collection, treatment and supply;Total;1976.0
2016;Sewerage;5 to 19 Employees;40.0
2016;Wholesale trade, except of motor vehicles and motorcycles;Total;36090.0
2016;Postal and courier activities;5 to 19 Employees;116.0
2016;Accommodation;20+  Employees;648.0
2016;Food and beverage service activities;20+  Employees;2148.0
2016;Publishing activities;Total;820.0
2016;Motion picture, video & tv programme production, sound recording;Less than 5 Employees;137.0
2016;Motion picture, video & tv programme production, sound recording;20+  Employees;15.0
2016;Motion picture, video & tv programme production, sound recording;Total;200.0
2016;Programming and broadcasting activities;Less than 5 Employees;279.0
2016;Programming and broadcasting activities;5 to 19 Employees;38.0
2016;Information service activities;Less than 5 Employees;233.0
2016;Activities auxiliary to financial service and insurance activities;20+  Employees;27.0
2016;Real estate activities;Less than 5 Employees;31971.0
2016;Real estate activities;5 to 19 Employees;2268.0
2016;Legal and accounting activities;Less than 5 Employees;1153.0
2016;Legal and accounting activities;5 to 19 Employees;568.0
2016;"Activities of head offices; management consultancy activities";Total;413.0
2016;"Architectural and engineering activities; technical testing & analysis";Less than 5 Employees;853.0
2016;"Architectural and engineering activities; technical testing & analysis";20+  Employees;338.0
2016;Scientific research and development;20+  Employees;6.0
2016;Advertising and market research;5 to 19 Employees;1224.0
2016;Advertising and market research;Total;3671.0
2016;Other professional, scientific and technical activities;20+  Employees;33.0
2016;Other professional, scientific and technical activities;Total;3780.0
2016;Veterinary activities;20+  Employees;1.0
2016;Employment activities;Total;4480.0
2016;Security and investigation activities;Total;663.0
2016;Office administrative, office support & other business support act's;Less than 5 Employees;2201.0
2016;Human health activities;5 to 19 Employees;1838.0
2016;Residential care activities;5 to 19 Employees;25.0
2016;Residential care activities;20+  Employees;19.0
2016;Residential care activities;Total;67.0
2016;Social work activities without accommodation;Less than 5 Employees;707.0
2016;Creative, arts and entertainment activities;Less than 5 Employees;218.0
2016;Creative, arts and entertainment activities;5 to 19 Employees;66.0
2016;Creative, arts and entertainment activities;20+  Employees;13.0
2016;Libraries, archives, museums and other cultural activities;Total;174.0
2016;Sports activities and amusement and recreation activities;Less than 5 Employees;1249.0
2016;Sports activities and amusement and recreation activities;5 to 19 Employees;529.0
2016;Sports activities and amusement and recreation activities;20+  Employees;151.0
2016;Activities of membership organizations;Total;2581.0
2016;Repair of computers and personal and household goods;Less than 5 Employees;13178.0
2016;Other personal service activities;Total;62372.0
2016;Total;Total;1003745.0
2016;Manufacture of rubber and plastics products;20+  Employees;250.0
2016;Manufacture of rubber and plastics products;Total;785.0
2016;Manufacture of fabricated metal products;Less than 5 Employees;15050.0
2016;Manufacture of computer, electronic and optical products;Less than 5 Employees;65.0
2016;Manufacture of machinery and equipment n.e.c.;20+  Employees;122.0
2016;Manufacture of other transport equipment;20+  Employees;10.0
2016;Manufacture of furniture;Total;9975.0
2016;Other manufacturing;20+  Employees;64.0
2016;Repair and installation of machinery and equipment;Less than 5 Employees;11491.0
2016;Electricity, gas, steam and air conditioning supply;Less than 5 Employees;354.0
2016;Sewerage;Less than 5 Employees;41.0
2016;"Waste collection, treatment & disposal activities; materials recovery";Less than 5 Employees;106.0
2016;"Waste collection, treatment & disposal activities; materials recovery";5 to 19 Employees;119.0
2016;"Waste collection, treatment & disposal activities; materials recovery";20+  Employees;65.0
2016;Civil engineering;20+  Employees;540.0
2016;Crop and animal production, hunting and related service activities;20+  Employees;426.0
2016;Crop and animal production, hunting and related service activities;Total;89001.0
2016;Fishing and aquaculture;Total;68.0
2016;Mining of metal ores;5 to 19 Employees;15.0
2016;Mining of metal ores;20+  Employees;26.0
2016;Other mining and quarrying;5 to 19 Employees;215.0
2016;Manufacture of beverages;20+  Employees;139.0
2016;Manufacture of textiles;5 to 19 Employees;272.0
2016;Manufacture of textiles;Total;2370.0
2016;Manufacture of wearing apparel;20+  Employees;121.0
2016;Printing and reproduction of recorded media;Less than 5 Employees;806.0
2016;Printing and reproduction of recorded media;Total;1415.0
2016;Manufacture of coke and refined petroleum products;5 to 19 Employees;71.0
2016;Manufacture of coke and refined petroleum products;Total;129.0
2016;Manufacture of chemicals and chemical products;Less than 5 Employees;371.0
2016;Manufacture of rubber and plastics products;Less than 5 Employees;217.0
2016;Manufacture of other non-metallic mineral products;Less than 5 Employees;1764.0
2016;Manufacture of basic metals;Total;602.0
2016;Manufacture of computer, electronic and optical products;5 to 19 Employees;43.0
2016;Manufacture of electrical equipment;20+  Employees;196.0
2016;Manufacture of machinery and equipment n.e.c.;Less than 5 Employees;114.0
2016;Manufacture of furniture;20+  Employees;366.0
2016;Electricity, gas, steam and air conditioning supply;Total;779.0
2016;Sewerage;20+  Employees;54.0
2016;Remediation activities and other waste management services;Less than 5 Employees;5.0
2016;Remediation activities and other waste management services;20+  Employees;10.0
2016;Wholesale trade, except of motor vehicles and motorcycles;5 to 19 Employees;7724.0
2016;Retail trade, except of motor vehicles and motorcycles;Total;339665.0
2016;Land transport and transport via pipelines;Less than 5 Employees;1458.0
2016;Air transport;5 to 19 Employees;140.0
2016;Warehousing and support activities for transportation;Less than 5 Employees;7489.0
2016;Postal and courier activities;20+  Employees;38.0
2016;Postal and courier activities;Total;435.0
2016;Food and beverage service activities;5 to 19 Employees;17503.0
2016;Publishing activities;Less than 5 Employees;494.0
2016;Telecommunications;5 to 19 Employees;560.0
2016;Computer programming, consultancy and related activities;20+  Employees;85.0
2016;Financial service activities, except insurance and pension funding;Less than 5 Employees;1657.0
2016;Insurance, reinsurance and pension funding;Less than 5 Employees;784.0
2016;Real estate activities;20+  Employees;364.0
2016;Legal and accounting activities;20+  Employees;73.0
2016;Veterinary activities;Less than 5 Employees;605.0
2016;Travel agency, tour operator, reservation service & related activities;5 to 19 Employees;1042.0
2016;Security and investigation activities;Less than 5 Employees;222.0
2016;Services to buildings and landscape activities;Less than 5 Employees;740.0
2016;Services to buildings and landscape activities;5 to 19 Employees;642.0
2016;Services to buildings and landscape activities;20+  Employees;289.0
2016;Office administrative, office support & other business support act's;5 to 19 Employees;483.0
2016;Office administrative, office support & other business support act's;20+  Employees;96.0
2016;Education;5 to 19 Employees;3593.0
2016;Education;20+  Employees;3231.0
2016;Creative, arts and entertainment activities;Total;297.0
2016;Activities of membership organizations;20+  Employees;175.0
2016;Repair of computers and personal and household goods;20+  Employees;87.0
2016;Other personal service activities;Less than 5 Employees;58952.0
2016;Other personal service activities;20+  Employees;107.0
2016;Total;Less than 5 Employees;835485.0
2015;Forestry and logging;5 to 19 Employees;32.0
2015;Forestry and logging;Total;613.0
2015;Mining of coal and lignite;Total;5.0
2015;Extraction of crude petroleum and natural gas;Less than 5 Employees;9.0
2015;Mining of metal ores;5 to 19 Employees;15.0
2015;Mining of metal ores;Total;48.0
2015;Other mining and quarrying;Less than 5 Employees;30.0
2015;Other mining and quarrying;20+  Employees;134.0
2015;Mining support service activities;20+  Employees;82.0
2015;Manufacture of tobacco products;5 to 19 Employees;7.0
2015;Manufacture of textiles;5 to 19 Employees;274.0
2015;Manufacture of wearing apparel;20+  Employees;121.0
2015;Manufacture of leather and related products;20+  Employees;16.0
2015;Manufacture of wood and of products of wood and cork;Less than 5 Employees;3248.0
2015;Manufacture of paper and paper products;Less than 5 Employees;86.0
2015;Printing and reproduction of recorded media;5 to 19 Employees;407.0
2015;Manufacture of coke and refined petroleum products;Total;118.0
2015;Manufacture of rubber and plastics products;Less than 5 Employees;213.0
2015;Manufacture of rubber and plastics products;Total;767.0
2015;Manufacture of other non-metallic mineral products;5 to 19 Employees;1639.0
2015;Manufacture of other non-metallic mineral products;20+  Employees;1155.0
2015;Manufacture of other non-metallic mineral products;Total;4502.0
2015;Manufacture of fabricated metal products;Less than 5 Employees;14368.0
2015;Manufacture of fabricated metal products;5 to 19 Employees;5103.0
2015;Manufacture of electrical equipment;Total;593.0
2015;Manufacture of other transport equipment;Less than 5 Employees;23.0
2015;Manufacture of other transport equipment;5 to 19 Employees;11.0
2015;Manufacture of furniture;Total;9742.0
2015;Repair and installation of machinery and equipment;Less than 5 Employees;11005.0
2015;Repair and installation of machinery and equipment;5 to 19 Employees;642.0
2015;Electricity, gas, steam and air conditioning supply;Less than 5 Employees;354.0
2015;Sewerage;Total;132.0
2015;"Waste collection, treatment & disposal activities; materials recovery";Less than 5 Employees;104.0
2015;"Waste collection, treatment & disposal activities; materials recovery";20+  Employees;65.0
2015;"Waste collection, treatment & disposal activities; materials recovery";Total;278.0
2015;Civil engineering;20+  Employees;521.0
2015;Wholesale & retail trade and repair of motor vehicles & motorcycles;5 to 19 Employees;14721.0
2015;Wholesale trade, except of motor vehicles and motorcycles;Total;34056.0
2015;Land transport and transport via pipelines;Less than 5 Employees;1409.0
2015;Land transport and transport via pipelines;20+  Employees;712.0
2015;Water transport;Less than 5 Employees;64.0
2015;Water transport;20+  Employees;98.0
2015;Water transport;Total;246.0
2015;Air transport;Less than 5 Employees;290.0
2015;Air transport;20+  Employees;39.0
2015;Air transport;Total;468.0
2015;Postal and courier activities;Less than 5 Employees;268.0
2015;Postal and courier activities;5 to 19 Employees;105.0
2015;Accommodation;20+  Employees;631.0
2015;Food and beverage service activities;Total;72549.0
2015;Publishing activities;5 to 19 Employees;239.0
2015;Publishing activities;20+  Employees;77.0
2015;Motion picture, video & tv programme production, sound recording;5 to 19 Employees;45.0
2015;Motion picture, video & tv programme production, sound recording;20+  Employees;15.0
2015;Programming and broadcasting activities;Less than 5 Employees;270.0
2015;Programming and broadcasting activities;5 to 19 Employees;38.0
2015;Programming and broadcasting activities;20+  Employees;13.0
2015;Insurance, reinsurance and pension funding;5 to 19 Employees;283.0
2015;Real estate activities;Total;31403.0
2015;"Activities of head offices; management consultancy activities";Total;389.0
2015;"Architectural and engineering activities; technical testing & analysis";Less than 5 Employees;819.0
2015;"Architectural and engineering activities; technical testing & analysis";20+  Employees;326.0
2015;Scientific research and development;Total;16.0
2015;Other professional, scientific and technical activities;5 to 19 Employees;380.0
2015;Rental and leasing activities;5 to 19 Employees;1098.0
2015;Employment activities;5 to 19 Employees;681.0
2015;Travel agency, tour operator, reservation service & related activities;20+  Employees;137.0
2015;Services to buildings and landscape activities;Less than 5 Employees;711.0
2015;Human health activities;Total;4005.0
2015;Social work activities without accommodation;Less than 5 Employees;672.0
2015;Libraries, archives, museums and other cultural activities;Less than 5 Employees;120.0
2015;Repair of computers and personal and household goods;Less than 5 Employees;12513.0
2015;Repair of computers and personal and household goods;5 to 19 Employees;524.0
2015;Other personal service activities;Less than 5 Employees;55008.0
2015;Other personal service activities;20+  Employees;104.0
2015;Forestry and logging;20+  Employees;1.0
2015;Fishing and aquaculture;Less than 5 Employees;45.0
2015;Fishing and aquaculture;5 to 19 Employees;11.0
2015;Mining of metal ores;20+  Employees;24.0
2015;Other mining and quarrying;Total;374.0
2015;Manufacture of beverages;Less than 5 Employees;603.0
2015;Manufacture of beverages;20+  Employees;136.0
2015;Manufacture of textiles;Total;2282.0
2015;Manufacture of wearing apparel;Less than 5 Employees;29246.0
2015;Manufacture of paper and paper products;20+  Employees;126.0
2015;Manufacture of paper and paper products;Total;335.0
2015;Manufacture of coke and refined petroleum products;5 to 19 Employees;65.0
2015;Manufacture of chemicals and chemical products;20+  Employees;520.0
2015;Manufacture of chemicals and chemical products;Total;1444.0
2015;Manufacture of products and preparations pharmaceutical;5 to 19 Employees;18.0
2015;Manufacture of products and preparations pharmaceutical;Total;89.0
2015;Manufacture of other non-metallic mineral products;Less than 5 Employees;1708.0
2015;Manufacture of computer, electronic and optical products;Less than 5 Employees;61.0
2015;Manufacture of computer, electronic and optical products;5 to 19 Employees;40.0
2015;Manufacture of electrical equipment;5 to 19 Employees;98.0
2015;Manufacture of machinery and equipment n.e.c.;Less than 5 Employees;112.0
2015;Manufacture of machinery and equipment n.e.c.;20+  Employees;124.0
2015;Manufacture of machinery and equipment n.e.c.;Total;362.0
2015;Manufacture of furniture;5 to 19 Employees;2175.0
2015;Sewerage;20+  Employees;53.0
2015;Construction of buildings;5 to 19 Employees;6933.0
2015;Construction of buildings;20+  Employees;3665.0
2015;Construction of buildings;Total;19821.0
2015;Civil engineering;Less than 5 Employees;206.0
2015;Specialized construction activities;5 to 19 Employees;3201.0
2015;Retail trade, except of motor vehicles and motorcycles;5 to 19 Employees;24560.0
2015;Retail trade, except of motor vehicles and motorcycles;Total;320010.0
2015;Water transport;5 to 19 Employees;84.0
2015;Postal and courier activities;Total;409.0
2015;Motion picture, video & tv programme production, sound recording;Less than 5 Employees;133.0
2015;Telecommunications;5 to 19 Employees;523.0
2015;Telecommunications;Total;3167.0
2015;Computer programming, consultancy and related activities;Total;535.0
2015;Information service activities;Total;339.0
2015;Activities auxiliary to financial service and insurance activities;Total;497.0
2015;Real estate activities;Less than 5 Employees;28835.0
2015;Real estate activities;20+  Employees;360.0
2015;Legal and accounting activities;Less than 5 Employees;1079.0
2015;Legal and accounting activities;Total;1727.0
2015;Advertising and market research;20+  Employees;167.0
2015;Rental and leasing activities;Total;8061.0
2015;Employment activities;Less than 5 Employees;3461.0
2015;Security and investigation activities;20+  Employees;207.0
2015;Services to buildings and landscape activities;20+  Employees;282.0
2015;Office administrative, office support & other business support act's;Less than 5 Employees;2080.0
2015;Education;5 to 19 Employees;3396.0
2015;Education;20+  Employees;3076.0
2015;Human health activities;Less than 5 Employees;541.0
2015;Human health activities;5 to 19 Employees;1782.0
2015;Human health activities;20+  Employees;1682.0
2015;Creative, arts and entertainment activities;5 to 19 Employees;63.0
2015;Creative, arts and entertainment activities;Total;281.0
2015;Total;5 to 19 Employees;131390.0
2015;Total;20+  Employees;30114.0
2015;Total;Total;954399.0
2015;Forestry and logging;Less than 5 Employees;580.0
2015;Fishing and aquaculture;Total;65.0
2015;Mining of coal and lignite;Less than 5 Employees;5.0
2015;Mining of coal and lignite;20+  Employees;0.0
2015;Extraction of crude petroleum and natural gas;Total;69.0
2015;Mining of metal ores;Less than 5 Employees;9.0
2015;Mining support service activities;Less than 5 Employees;18.0
2015;Manufacture of food products;5 to 19 Employees;1533.0
2015;Manufacture of food products;Total;11372.0
2015;Manufacture of textiles;20+  Employees;89.0
2015;Manufacture of wearing apparel;5 to 19 Employees;2107.0
2015;Manufacture of wearing apparel;Total;31474.0
2015;Manufacture of leather and related products;5 to 19 Employees;15.0
2015;Manufacture of leather and related products;Total;134.0
2015;Printing and reproduction of recorded media;20+  Employees;180.0
2015;Manufacture of coke and refined petroleum products;Less than 5 Employees;28.0
2015;Manufacture of products and preparations pharmaceutical;Less than 5 Employees;22.0
2015;Manufacture of basic metals;Less than 5 Employees;109.0
2015;Manufacture of basic metals;5 to 19 Employees;197.0
2015;Manufacture of basic metals;Total;580.0
2015;Manufacture of motor vehicles, trailers and semi-trailers;Total;314.0
2015;Manufacture of furniture;Less than 5 Employees;7200.0
2015;Manufacture of furniture;20+  Employees;367.0
2015;Other manufacturing;5 to 19 Employees;87.0
2015;Electricity, gas, steam and air conditioning supply;5 to 19 Employees;151.0
2015;Water collection, treatment and supply;5 to 19 Employees;336.0
2015;"Waste collection, treatment & disposal activities; materials recovery";5 to 19 Employees;109.0
2015;Remediation activities and other waste management services;Less than 5 Employees;5.0
2015;Construction of buildings;Less than 5 Employees;9223.0
2015;Civil engineering;Total;1201.0
2015;Specialized construction activities;Less than 5 Employees;7218.0
2015;Wholesale & retail trade and repair of motor vehicles & motorcycles;20+  Employees;1216.0
2015;Wholesale & retail trade and repair of motor vehicles & motorcycles;Total;92220.0
2015;Wholesale trade, except of motor vehicles and motorcycles;5 to 19 Employees;7369.0
2015;Land transport and transport via pipelines;Total;3293.0
2015;Warehousing and support activities for transportation;Less than 5 Employees;7222.0
2015;Food and beverage service activities;Less than 5 Employees;53534.0
2015;Food and beverage service activities;20+  Employees;2100.0
2015;Programming and broadcasting activities;Total;321.0
2015;Information service activities;Less than 5 Employees;219.0
2015;Financial service activities, except insurance and pension funding;5 to 19 Employees;2398.0
2015;Financial service activities, except insurance and pension funding;20+  Employees;564.0
2015;Financial service activities, except insurance and pension funding;Total;4488.0
2015;Real estate activities;5 to 19 Employees;2208.0
2015;Legal and accounting activities;5 to 19 Employees;579.0
2015;"Architectural and engineering activities; technical testing & analysis";Total;2246.0
2015;Scientific research and development;20+  Employees;5.0
2015;Veterinary activities;Less than 5 Employees;604.0
2015;Veterinary activities;20+  Employees;1.0
2015;Employment activities;20+  Employees;70.0
2015;Travel agency, tour operator, reservation service & related activities;Total;3030.0
2015;Security and investigation activities;Less than 5 Employees;212.0
2015;Services to buildings and landscape activities;5 to 19 Employees;597.0
2015;Office administrative, office support & other business support act's;20+  Employees;97.0
2015;Residential care activities;Less than 5 Employees;22.0
2015;Residential care activities;20+  Employees;18.0
2015;Social work activities without accommodation;20+  Employees;142.0
2015;Creative, arts and entertainment activities;Less than 5 Employees;205.0
2015;Sports activities and amusement and recreation activities;Less than 5 Employees;1194.0
2015;Sports activities and amusement and recreation activities;Total;1880.0
2015;Repair of computers and personal and household goods;20+  Employees;85.0
2015;Total;Less than 5 Employees;792895.0
2015;Crop and animal production, hunting and related service activities;Less than 5 Employees;81523.0
2015;Crop and animal production, hunting and related service activities;5 to 19 Employees;4788.0
2015;Crop and animal production, hunting and related service activities;Total;86727.0
2015;Fishing and aquaculture;20+  Employees;9.0
2015;Mining of coal and lignite;5 to 19 Employees;0.0
2015;Other mining and quarrying;5 to 19 Employees;210.0
2015;Mining support service activities;5 to 19 Employees;43.0
2015;Mining support service activities;Total;143.0
2015;Manufacture of food products;20+  Employees;665.0
2015;Manufacture of beverages;Total;963.0
2015;Manufacture of tobacco products;20+  Employees;1.0
2015;Manufacture of wood and of products of wood and cork;20+  Employees;151.0
2015;Manufacture of wood and of products of wood and cork;Total;4825.0
2015;Printing and reproduction of recorded media;Less than 5 Employees;763.0
2015;Manufacture of chemicals and chemical products;Less than 5 Employees;360.0
2015;Manufacture of chemicals and chemical products;5 to 19 Employees;564.0
2015;Manufacture of products and preparations pharmaceutical;20+  Employees;49.0
2015;Manufacture of rubber and plastics products;20+  Employees;242.0
2015;Manufacture of fabricated metal products;20+  Employees;733.0
2015;Manufacture of computer, electronic and optical products;Total;133.0
2015;Manufacture of electrical equipment;Less than 5 Employees;302.0
2015;Manufacture of electrical equipment;20+  Employees;193.0
2015;Manufacture of motor vehicles, trailers and semi-trailers;Less than 5 Employees;83.0
2015;Manufacture of motor vehicles, trailers and semi-trailers;5 to 19 Employees;154.0
2015;Manufacture of other transport equipment;20+  Employees;10.0
2015;Other manufacturing;20+  Employees;63.0
2015;Repair and installation of machinery and equipment;Total;11830.0
2015;Electricity, gas, steam and air conditioning supply;20+  Employees;249.0
2015;Electricity, gas, steam and air conditioning supply;Total;754.0
2015;Water collection, treatment and supply;20+  Employees;130.0
2015;Water collection, treatment and supply;Total;1918.0
2015;Sewerage;5 to 19 Employees;40.0
2015;Civil engineering;5 to 19 Employees;474.0
2015;Wholesale & retail trade and repair of motor vehicles & motorcycles;Less than 5 Employees;76283.0
2015;Air transport;5 to 19 Employees;139.0
2015;Warehousing and support activities for transportation;5 to 19 Employees;3496.0
2015;Warehousing and support activities for transportation;20+  Employees;772.0
2015;Postal and courier activities;20+  Employees;36.0
2015;Accommodation;Less than 5 Employees;21746.0
2015;Accommodation;Total;26463.0
2015;Food and beverage service activities;5 to 19 Employees;16915.0
2015;Publishing activities;Less than 5 Employees;462.0
2015;Telecommunications;Less than 5 Employees;2384.0
2015;Computer programming, consultancy and related activities;Less than 5 Employees;226.0
2015;Information service activities;20+  Employees;26.0
2015;Insurance, reinsurance and pension funding;20+  Employees;169.0
2015;Insurance, reinsurance and pension funding;Total;1195.0
2015;Activities auxiliary to financial service and insurance activities;Less than 5 Employees;157.0
2015;Activities auxiliary to financial service and insurance activities;5 to 19 Employees;314.0
2015;Legal and accounting activities;20+  Employees;69.0
2015;"Activities of head offices; management consultancy activities";Less than 5 Employees;142.0
2015;"Activities of head offices; management consultancy activities";5 to 19 Employees;192.0
2015;"Architectural and engineering activities; technical testing & analysis";5 to 19 Employees;1101.0
2015;Scientific research and development;5 to 19 Employees;5.0
2015;Advertising and market research;5 to 19 Employees;1176.0
2015;Advertising and market research;Total;3526.0
2015;Other professional, scientific and technical activities;Less than 5 Employees;3207.0
2015;Other professional, scientific and technical activities;20+  Employees;33.0
2015;Other professional, scientific and technical activities;Total;3620.0
2015;Veterinary activities;5 to 19 Employees;24.0
2015;Rental and leasing activities;20+  Employees;228.0
2015;Travel agency, tour operator, reservation service & related activities;Less than 5 Employees;1911.0
2015;Security and investigation activities;5 to 19 Employees;211.0
2015;Security and investigation activities;Total;630.0
2015;Office administrative, office support & other business support act's;5 to 19 Employees;473.0
2015;Office administrative, office support & other business support act's;Total;2650.0
2015;Education;Less than 5 Employees;2291.0
2015;Social work activities without accommodation;5 to 19 Employees;672.0
2015;Creative, arts and entertainment activities;20+  Employees;13.0
2015;Activities of membership organizations;Less than 5 Employees;1367.0
2015;Activities of membership organizations;5 to 19 Employees;847.0
2015;Activities of membership organizations;20+  Employees;172.0
2015;Other personal service activities;Total;58399.0
2015;Crop and animal production, hunting and related service activities;20+  Employees;416.0
2015;Extraction of crude petroleum and natural gas;5 to 19 Employees;13.0
2015;Extraction of crude petroleum and natural gas;20+  Employees;47.0
2015;Manufacture of food products;Less than 5 Employees;9174.0
2015;Manufacture of beverages;5 to 19 Employees;224.0
2015;Manufacture of tobacco products;Less than 5 Employees;67.0
2015;Manufacture of tobacco products;Total;75.0
2015;Manufacture of textiles;Less than 5 Employees;1919.0
2015;Manufacture of leather and related products;Less than 5 Employees;103.0
2015;Manufacture of wood and of products of wood and cork;5 to 19 Employees;1426.0
2015;Manufacture of paper and paper products;5 to 19 Employees;123.0
2015;Printing and reproduction of recorded media;Total;1350.0
2015;Manufacture of coke and refined petroleum products;20+  Employees;25.0
2015;Manufacture of rubber and plastics products;5 to 19 Employees;312.0
2015;Manufacture of basic metals;20+  Employees;274.0
2015;Manufacture of fabricated metal products;Total;20204.0
2015;Manufacture of computer, electronic and optical products;20+  Employees;32.0
2015;Manufacture of machinery and equipment n.e.c.;5 to 19 Employees;126.0
2015;Manufacture of motor vehicles, trailers and semi-trailers;20+  Employees;77.0
2015;Manufacture of other transport equipment;Total;44.0
2015;Other manufacturing;Less than 5 Employees;349.0
2015;Other manufacturing;Total;499.0
2015;Repair and installation of machinery and equipment;20+  Employees;183.0
2015;Water collection, treatment and supply;Less than 5 Employees;1452.0
2015;Sewerage;Less than 5 Employees;39.0
2015;Remediation activities and other waste management services;5 to 19 Employees;5.0
2015;Remediation activities and other waste management services;20+  Employees;8.0
2015;Remediation activities and other waste management services;Total;18.0
2015;Specialized construction activities;20+  Employees;785.0
2015;Specialized construction activities;Total;11204.0
2015;Wholesale trade, except of motor vehicles and motorcycles;Less than 5 Employees;25080.0
2015;Wholesale trade, except of motor vehicles and motorcycles;20+  Employees;1607.0
2015;Retail trade, except of motor vehicles and motorcycles;Less than 5 Employees;292989.0
2015;Retail trade, except of motor vehicles and motorcycles;20+  Employees;2461.0
2015;Land transport and transport via pipelines;5 to 19 Employees;1172.0
2015;Warehousing and support activities for transportation;Total;11490.0
2015;Accommodation;5 to 19 Employees;4086.0
2015;Publishing activities;Total;778.0
2015;Motion picture, video & tv programme production, sound recording;Total;193.0
2015;Telecommunications;20+  Employees;260.0
2015;Computer programming, consultancy and related activities;5 to 19 Employees;228.0
2015;Computer programming, consultancy and related activities;20+  Employees;81.0
2015;Information service activities;5 to 19 Employees;94.0
2015;Financial service activities, except insurance and pension funding;Less than 5 Employees;1526.0
2015;Insurance, reinsurance and pension funding;Less than 5 Employees;743.0
2015;Activities auxiliary to financial service and insurance activities;20+  Employees;26.0
2015;"Activities of head offices; management consultancy activities";20+  Employees;55.0
2015;Scientific research and development;Less than 5 Employees;6.0
2015;Advertising and market research;Less than 5 Employees;2183.0
2015;Veterinary activities;Total;629.0
2015;Rental and leasing activities;Less than 5 Employees;6735.0
2015;Employment activities;Total;4212.0
2015;Travel agency, tour operator, reservation service & related activities;5 to 19 Employees;982.0
2015;Services to buildings and landscape activities;Total;1590.0
2015;Education;Total;8763.0
2015;Residential care activities;5 to 19 Employees;25.0
2015;Residential care activities;Total;65.0
2015;Social work activities without accommodation;Total;1486.0
2015;Libraries, archives, museums and other cultural activities;5 to 19 Employees;34.0
2015;Libraries, archives, museums and other cultural activities;20+  Employees;11.0
2015;Libraries, archives, museums and other cultural activities;Total;165.0
2015;Sports activities and amusement and recreation activities;5 to 19 Employees;536.0
2015;Sports activities and amusement and recreation activities;20+  Employees;150.0
2015;Activities of membership organizations;Total;2386.0
2015;Repair of computers and personal and household goods;Total;13122.0
2015;Other personal service activities;5 to 19 Employees;3287.0
2014;Crop and animal production, hunting and related service activities;Less than 5 Employees;81496.0
2014;Crop and animal production, hunting and related service activities;5 to 19 Employees;4737.0
2014;Crop and animal production, hunting and related service activities;Total;86623.0
2014;Extraction of crude petroleum and natural gas;Less than 5 Employees;9.0
2014;Other mining and quarrying;5 to 19 Employees;206.0
2014;Mining support service activities;5 to 19 Employees;39.0
2014;Manufacture of food products;5 to 19 Employees;1528.0
2014;Manufacture of beverages;20+  Employees;120.0
2014;Manufacture of tobacco products;20+  Employees;1.0
