time_period;economic_activity;establishment_size;number_of_establishments
2017;Residential care activities;5 to 19 Employees;27.0
2017;Social work activities without accommodation;Less than 5 Employees;714.0
2017;Sports activities and amusement and recreation activities;Total;1945.0
2017;Repair of computers and personal and household goods;Less than 5 Employees;13222.0
2017;Repair of computers and personal and household goods;20+  Employees;88.0
2017;Other personal service activities;20+  Employees;108.0
2017;Total;20+  Employees;31623.0
2017;Forestry and logging;Total;652.0
2017;Mining of coal and lignite;Less than 5 Employees;7.0
2017;Mining of coal and lignite;20+  Employees;0.0
2017;Extraction of crude petroleum and natural gas;20+  Employees;49.0
2017;Mining support service activities;5 to 19 Employees;50.0
2017;Mining support service activities;20+  Employees;90.0
2017;Manufacture of wearing apparel;Less than 5 Employees;30677.0
2017;Manufacture of wood and of products of wood and cork;Less than 5 Employees;3347.0
2017;Manufacture of coke and refined petroleum products;20+  Employees;27.0
2017;Manufacture of coke and refined petroleum products;Total;136.0
2017;Manufacture of products and preparations pharmaceutical;20+  Employees;53.0
2017;Manufacture of rubber and plastics products;Less than 5 Employees;219.0
2017;Manufacture of other non-metallic mineral products;Total;4674.0
2017;Manufacture of motor vehicles, trailers and semi-trailers;5 to 19 Employees;168.0
2017;Manufacture of motor vehicles, trailers and semi-trailers;20+  Employees;80.0
2017;Manufacture of furniture;Less than 5 Employees;7431.0
2017;Other manufacturing;Less than 5 Employees;362.0
2017;Other manufacturing;Total;516.0
2017;Repair and installation of machinery and equipment;Less than 5 Employees;11540.0
2017;Water collection, treatment and supply;20+  Employees;138.0
2017;Sewerage;Less than 5 Employees;44.0
2017;Specialized construction activities;Less than 5 Employees;7527.0
2017;Specialized construction activities;5 to 19 Employees;3417.0
2017;Specialized construction activities;20+  Employees;819.0
2017;Wholesale & retail trade and repair of motor vehicles & motorcycles;Less than 5 Employees;79404.0
2017;Wholesale & retail trade and repair of motor vehicles & motorcycles;20+  Employees;1276.0
2017;Wholesale trade, except of motor vehicles and motorcycles;5 to 19 Employees;7746.0
2017;Warehousing and support activities for transportation;Total;12019.0
2017;Postal and courier activities;Total;438.0
2017;Accommodation;20+  Employees;653.0
2017;Accommodation;Total;27870.0
2017;Food and beverage service activities;5 to 19 Employees;17617.0
2017;Publishing activities;Less than 5 Employees;497.0
2017;Publishing activities;Total;824.0
2017;Programming and broadcasting activities;5 to 19 Employees;40.0
2017;Telecommunications;5 to 19 Employees;564.0
2017;Telecommunications;Total;3353.0
2017;Computer programming, consultancy and related activities;Total;562.0
2017;Insurance, reinsurance and pension funding;Less than 5 Employees;789.0
2017;Insurance, reinsurance and pension funding;20+  Employees;184.0
2017;Insurance, reinsurance and pension funding;Total;1266.0
2017;Activities auxiliary to financial service and insurance activities;5 to 19 Employees;340.0
2017;"Activities of head offices; management consultancy activities";5 to 19 Employees;209.0
2017;Scientific research and development;Less than 5 Employees;9.0
2017;Veterinary activities;5 to 19 Employees;25.0
2017;Veterinary activities;Total;635.0
2017;Rental and leasing activities;5 to 19 Employees;1155.0
2017;Office administrative, office support & other business support act's;5 to 19 Employees;487.0
2017;Education;Total;9327.0
2017;Human health activities;Less than 5 Employees;571.0
2017;Social work activities without accommodation;Total;1602.0
2017;Creative, arts and entertainment activities;Less than 5 Employees;220.0
2017;Libraries, archives, museums and other cultural activities;Less than 5 Employees;128.0
2017;Libraries, archives, museums and other cultural activities;5 to 19 Employees;41.0
2017;Libraries, archives, museums and other cultural activities;Total;181.0
2017;Sports activities and amusement and recreation activities;Less than 5 Employees;1259.0
2017;Sports activities and amusement and recreation activities;20+  Employees;152.0
2017;Activities of membership organizations;5 to 19 Employees;853.0
2017;Activities of membership organizations;20+  Employees;175.0
2017;Repair of computers and personal and household goods;5 to 19 Employees;575.0
2017;Repair of computers and personal and household goods;Total;13885.0
2017;Total;Less than 5 Employees;838062.0
2017;Forestry and logging;Less than 5 Employees;611.0
2017;Other mining and quarrying;5 to 19 Employees;219.0
2017;Manufacture of leather and related products;5 to 19 Employees;17.0
2017;Manufacture of paper and paper products;5 to 19 Employees;132.0
2017;Manufacture of rubber and plastics products;5 to 19 Employees;319.0
2017;Manufacture of rubber and plastics products;20+  Employees;250.0
2017;Manufacture of other non-metallic mineral products;5 to 19 Employees;1699.0
2017;Manufacture of fabricated metal products;Less than 5 Employees;15180.0
2017;Manufacture of fabricated metal products;Total;21269.0
2017;Manufacture of computer, electronic and optical products;20+  Employees;35.0
2017;Manufacture of electrical equipment;5 to 19 Employees;102.0
2017;Forestry and logging;20+  Employees;2.0
2017;Extraction of crude petroleum and natural gas;5 to 19 Employees;14.0
2017;Other mining and quarrying;Total;399.0
2017;Mining support service activities;Total;160.0
2017;Manufacture of food products;20+  Employees;697.0
2017;Manufacture of food products;Total;11891.0
2017;Manufacture of beverages;20+  Employees;140.0
2017;Manufacture of textiles;5 to 19 Employees;279.0
2017;Manufacture of wearing apparel;5 to 19 Employees;2152.0
2017;Manufacture of leather and related products;Total;147.0
2017;Manufacture of paper and paper products;Less than 5 Employees;94.0
2017;Manufacture of paper and paper products;Total;355.0
2017;Printing and reproduction of recorded media;Total;1428.0
2017;Manufacture of chemicals and chemical products;5 to 19 Employees;591.0
2017;Manufacture of chemicals and chemical products;Total;1525.0
2017;Manufacture of products and preparations pharmaceutical;Less than 5 Employees;26.0
2017;Manufacture of basic metals;20+  Employees;291.0
2017;Manufacture of machinery and equipment n.e.c.;5 to 19 Employees;137.0
2017;Manufacture of machinery and equipment n.e.c.;20+  Employees;123.0
2017;Manufacture of other transport equipment;5 to 19 Employees;14.0
2017;Manufacture of furniture;5 to 19 Employees;2188.0
2017;Manufacture of furniture;20+  Employees;367.0
2017;Other manufacturing;5 to 19 Employees;89.0
2017;Repair and installation of machinery and equipment;20+  Employees;194.0
2017;Electricity, gas, steam and air conditioning supply;5 to 19 Employees;162.0
2017;Water collection, treatment and supply;Less than 5 Employees;1504.0
2017;Sewerage;5 to 19 Employees;42.0
2017;"Waste collection, treatment & disposal activities; materials recovery";Less than 5 Employees;108.0
2017;Remediation activities and other waste management services;Total;19.0
2017;Construction of buildings;5 to 19 Employees;7308.0
2017;Civil engineering;Less than 5 Employees;216.0
2017;Wholesale & retail trade and repair of motor vehicles & motorcycles;5 to 19 Employees;15054.0
2017;Wholesale trade, except of motor vehicles and motorcycles;Less than 5 Employees;26898.0
2017;Wholesale trade, except of motor vehicles and motorcycles;20+  Employees;1683.0
2017;Retail trade, except of motor vehicles and motorcycles;5 to 19 Employees;26005.0
2017;Land transport and transport via pipelines;5 to 19 Employees;1200.0
2017;Land transport and transport via pipelines;Total;3418.0
2017;Water transport;20+  Employees;189.0
2017;Air transport;Total;479.0
2017;Food and beverage service activities;Less than 5 Employees;56193.0
2017;Food and beverage service activities;20+  Employees;2161.0
2017;Publishing activities;5 to 19 Employees;245.0
2017;Motion picture, video & tv programme production, sound recording;5 to 19 Employees;49.0
2017;Motion picture, video & tv programme production, sound recording;20+  Employees;16.0
2017;Programming and broadcasting activities;Less than 5 Employees;384.0
2017;Computer programming, consultancy and related activities;5 to 19 Employees;233.0
2017;Computer programming, consultancy and related activities;20+  Employees;86.0
2017;Information service activities;5 to 19 Employees;100.0
2017;Insurance, reinsurance and pension funding;5 to 19 Employees;293.0
2017;Activities auxiliary to financial service and insurance activities;Total;534.0
2017;"Activities of head offices; management consultancy activities";Less than 5 Employees;149.0
2017;"Activities of head offices; management consultancy activities";20+  Employees;56.0
2017;"Architectural and engineering activities; technical testing & analysis";5 to 19 Employees;1151.0
2017;Other professional, scientific and technical activities;Less than 5 Employees;3375.0
2017;Employment activities;20+  Employees;75.0
2017;Employment activities;Total;4512.0
2017;Security and investigation activities;5 to 19 Employees;228.0
2017;Security and investigation activities;20+  Employees;214.0
2017;Services to buildings and landscape activities;20+  Employees;291.0
2017;Services to buildings and landscape activities;Total;1678.0
2017;Residential care activities;Total;76.0
2017;Libraries, archives, museums and other cultural activities;20+  Employees;12.0
2017;Sports activities and amusement and recreation activities;5 to 19 Employees;534.0
2017;Activities of membership organizations;Less than 5 Employees;1572.0
2017;Total;5 to 19 Employees;137588.0
2017;Crop and animal production, hunting and related service activities;Total;89125.0
2017;Fishing and aquaculture;Total;75.0
2017;Extraction of crude petroleum and natural gas;Less than 5 Employees;9.0
2017;Mining of metal ores;Less than 5 Employees;10.0
2017;Mining of metal ores;5 to 19 Employees;15.0
2017;Manufacture of food products;Less than 5 Employees;9601.0
2017;Manufacture of beverages;Less than 5 Employees;635.0
2017;Manufacture of tobacco products;5 to 19 Employees;10.0
2017;Manufacture of tobacco products;20+  Employees;1.0
2017;Manufacture of tobacco products;Total;85.0
2017;Manufacture of textiles;20+  Employees;96.0
2017;Manufacture of leather and related products;Less than 5 Employees;112.0
2017;Manufacture of wood and of products of wood and cork;5 to 19 Employees;1492.0
2017;Manufacture of wood and of products of wood and cork;Total;4991.0
2017;Manufacture of coke and refined petroleum products;Less than 5 Employees;34.0
2017;Manufacture of products and preparations pharmaceutical;5 to 19 Employees;20.0
2017;Manufacture of other non-metallic mineral products;Less than 5 Employees;1772.0
2017;Manufacture of basic metals;Less than 5 Employees;112.0
2017;Manufacture of basic metals;5 to 19 Employees;203.0
2017;Manufacture of fabricated metal products;20+  Employees;763.0
2017;Manufacture of computer, electronic and optical products;Less than 5 Employees;69.0
2017;Manufacture of computer, electronic and optical products;5 to 19 Employees;46.0
2017;Manufacture of computer, electronic and optical products;Total;150.0
2017;Manufacture of electrical equipment;Less than 5 Employees;321.0
2017;Manufacture of machinery and equipment n.e.c.;Total;378.0
2017;Manufacture of motor vehicles, trailers and semi-trailers;Total;337.0
2017;Manufacture of other transport equipment;Less than 5 Employees;26.0
2017;Manufacture of other transport equipment;20+  Employees;11.0
2017;Repair and installation of machinery and equipment;5 to 19 Employees;692.0
2017;Electricity, gas, steam and air conditioning supply;Less than 5 Employees;360.0
2017;Electricity, gas, steam and air conditioning supply;Total;789.0
2017;Remediation activities and other waste management services;Less than 5 Employees;5.0
2017;Remediation activities and other waste management services;5 to 19 Employees;4.0
